Author,Work
Antiphon,"On the Murder of Herodes"
Antiphon,"Prosecution Of The Stepmother For Poisoning"
Antiphon,"The First Tetralogy: Anonymous Prosecution for Murder"
Antiphon,"The Second Tetralogy: Prosecution for Accidental Homicide"
Antiphon,"The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence"
"Antiphon of Athens",Fragmenta
"Anubion, Poeta Astrologus",Fragmenta
Apollodorus,Epitome
Apollodorus,Library
"Apollonius Dyscolus","De Conjuctionibus"
"Apollonius Dyscolus","De adverbiis"
"Apollonius Dyscolus","De constructione"
"Apollonius Dyscolus","De pronominibus"
"Apollonius Rhodius",Argonautica
"Apollonius of Perga",Conica
"Appendix Proverbiorum","Appendix Proverbiorum"
"Appianus of Alexandria","Civil Wars"
"Appianus of Alexandria","Gallic History"
"Appianus of Alexandria","Hannibalic War"
"Appianus of Alexandria","Illyrian Wars"
"Appianus of Alexandria",Italy
"Appianus of Alexandria",Kings
"Appianus of Alexandria","Macedonian Affairs"
"Appianus of Alexandria","Mithridatic Wars"
"Appianus of Alexandria","Numidian Affairs"
"Appianus of Alexandria","Punic Wars"
"Appianus of Alexandria","Samnite History"
"Appianus of Alexandria","Sicily and the Other Islands"
"Appianus of Alexandria","Syrian Wars"
"Appianus of Alexandria","Wars in Spain"
Apuleius,Apologia
Apuleius,Florida
Apuleius,Metamorphoses
"Aratus Solensis",Phaenomena
Archimedes,"Ad Eratosthenem methodus"
Archimedes,Arenarius
Archimedes,"De conoidibus et sphaeroidibus"
Archimedes,"De corporibus fluitantibus"
Archimedes,"De lineis spiralibus"
Archimedes,"De planorum aequilibriis"
Archimedes,"De sphaera et cylindro"
Archimedes,"Dimensio circuli"
Archimedes,Fragmenta
Archimedes,"Liber assumptorum"
Archimedes,"Problema bovinum"
Archimedes,"Quadratura parabolae"
Archimedes,Stomachion
"Archytas of Tarentum",Fragmenta
"Aretaeus of Cappadocia","De causis et signis acutorum morborum libri duo"
"Aretaeus of Cappadocia","De causis et signis diuturnorum morborum libri duo"
"Aretaeus of Cappadocia","De curatione acutorum morborum libri duo"
"Aretaeus of Cappadocia","De curatione diuturnorum morborum libri duo"
"Aristarchus of Samos","De magnitudinibus et distantiis solis et lunae"
"Aristides, Aelius","Ars Rhetorica"
"Aristides, Aelius","Orationes 55"
"Aristocles of Messene",Fragmenta
